Year,Force,HOMICIDE,Harassment,Kidnapping,TOTAL ROBBERY,Domestic burglary,Shoplifting,TOTAL THEFT OFFENCES,Arson,Criminal damage,TOTAL DRUG OFFENCES,TOTAL POSSESSION OF           WEAPONS OFFENCES,TOTAL  - ALL OFFENCES
2006,Cambridgeshire,7,379,25,733,3736,3845,36787,776,14754,2124,384,67546
2006,Cheshire,8,611,28,688,4430,6554,43879,884,21344,1645,444,88107
2006,Cleveland,5,383,22,576,3565,4652,31130,854,17650,2014,392,67952
2006,Cumbria,1,141,15,68,917,2271,14176,425,12190,1434,261,37858
2006,Derbyshire,11,802,22,870,4417,3246,38381,645,19369,1558,459,79401
2006,Devon and Cornwall,18,905,31,653,4646,7395,56154,1198,31585,3799,651,121959
2006,Dorset,7,919,17,190,1638,3530,25999,571,11838,1641,407,53715
2006,Durham,11,364,8,233,2402,2339,22870,581,15771,1317,519,52530
2006,Dyfed-Powys,3,109,5,47,770,1444,10045,237,7710,2484,219,29421
2006,Essex,23,1314,36,1531,6124,9329,63936,956,28944,3254,1135,125235
2006,Gloucestershire,4,467,22,394,2583,3347,24963,497,11402,1207,336,51049
2006,Greater Manchester,55,1760,183,8213,24320,14827,164126,2792,74146,10518,2345,327937
2006,Gwent,7,347,22,282,2216,2894,23540,578,12968,1888,388,52518
2006,Hampshire,20,1865,108,1212,5451,11693,79774,1481,43423,4073,1033,176332
2006,Hertfordshire,9,835,28,985,4298,6587,44413,503,20040,2945,554,88780
2006,Humberside,20,477,41,1200,6705,6762,54584,1267,25019,2531,673,111373
2006,Kent,15,982,58,1403,7243,10164,71582,1229,35216,2976,942,144198
2006,Lancashire,23,1245,44,1014,5692,8564,61278,1372,36322,3301,1059,133991
2006,Leicestershire,11,2174,47,1214,5542,5067,43145,755,18462,3090,574,90452
2006,Lincolnshire,7,141,9,230,2327,3263,26280,572,13885,1421,422,54629
2006,City of London City of,1,137,3,41,37,770,4899,1,307,782,89,7461
2006,Merseyside,24,665,71,2290,9835,9623,71382,1371,39535,10144,1119,153827
2006,Metropolitan Police,168,15752,677,45771,59933,36944,476994,2981,109967,53967,7776,897553
2006,Norfolk,5,262,23,359,1696,4122,27963,673,16536,2005,440,61061
2006,North Wales,6,477,6,134,1200,3401,19605,469,14308,2105,395,52772
2006,North Yorkshire,2,231,11,278,2465,3629,27489,349,12123,1730,328,53579
2006,Northamptonshire,14,541,22,1037,3905,3527,34215,648,15338,1400,365,64520
2006,Northumbria,25,917,38,1055,6336,9378,56220,1571,34245,5116,1149,127301
2006,Nottinghamshire,15,875,52,2434,10619,6907,73093,1174,29026,3563,841,135131
2006,South Wales,16,991,37,891,6392,6757,64327,1211,27158,4051,727,120646
2006,South Yorkshire,21,1470,32,1594,9814,7588,82107,2043,37183,3458,863,157913
2006,Staffordshire,13,1414,21,758,4759,5951,46060,968,23565,3148,620,102591
2006,Suffolk,11,320,17,271,1684,2681,22583,569,12456,1781,457,49755
2006,Surrey,2,669,22,446,3397,3702,35180,421,17000,2111,419,70759
2006,Sussex,11,1995,37,1007,4556,8229,61527,1124,28775,4998,1098,130951
2006,Thames Valley,22,4190,79,2320,12059,11542,109251,1483,38423,7549,1198,205722
2006,Warwickshire,7,209,18,488,2844,2029,23302,380,9861,1593,264,44453
2006,West Mercia,15,841,30,581,3260,5706,37926,768,19840,2423,704,80457
2006,West Midlands,45,4052,172,9186,17524,14918,129705,2079,53659,9697,2605,272412
2006,West Yorkshire,43,1488,105,3148,18009,11935,126921,2440,56100,6399,1322,247070
2006,Wiltshire,4,178,20,363,1901,2585,21399,360,11157,975,272,44208
2007,Avon and Somerset,16,991,44,1906,8761,8923,74093,1276,28507,5325,824,141937
2007,Bedfordshire,10,224,27,1210,4506,3432,28967,423,9688,1178,425,50306
2007,British Transport Police,3,64,8,1042,6,1589,33945,153,10265,3971,909,66946
2007,Cambridgeshire,7,353,20,624,3503,3940,34614,589,13353,2904,384,64363
2007,Cheshire,9,416,27,572,3865,6009,39754,693,18139,2091,417,78539
